feature,pearson,pearson_signed,spearman,spearman_signed,chatterjee,chatterjee_ties,n_valid,nonlinear_score,chatterjee_vs_spearman,composite_score
Momentum_Type_Z,0.19212141192367446,0.19212141192367446,0.18401929931394717,0.18401929931394717,0.33478746116964897,-0.8282877905458963,2636,0.1426660492459745,0.1507681618557018,0.24675719783914607
Work_Rate_Vertical_Pos_Z,0.18172651122484224,0.18172651122484224,0.17123705445635196,0.17123705445635196,0.34703490865425857,-0.9275947982498784,2226,0.16530839742941633,0.1757978541979066,0.24470303316606168
Work_Rate_Vertical_Pos_Diff,0.17935507022820443,0.17935507022820443,0.16786648050784642,0.16786648050784642,0.3459810086766322,-0.9324410549343705,2227,0.16662593844842774,0.17811452816878576,0.24255886869146814
Work_Rate_Vertical_Type_Z,0.18626529209895318,0.18626529209895318,0.1736593052858756,0.1736593052858756,0.37831150464318375,-0.8369135877491491,2227,0.19204621254423057,0.20465219935730816,0.2593019810727221
Speed_Score_Pos_Z,0.30920037247443893,0.30920037247443893,0.3090237815067748,0.3090237815067748,0.3641365308104707,-0.7462983135641088,2635,0.05493615833603177,0.05511274930369592,0.33112185851855236
Speed_Score_Pos_Diff,0.3064592789370931,0.3064592789370931,0.307486614201909,0.307486614201909,0.39510613449387244,-0.6625063484604687,2636,0.08864685555677931,0.08761952029196346,0.3422262217392496
Speed_Score_Type_Z,0.29935603207227196,0.29935603207227196,0.3005089927050731,0.3005089927050731,0.37348245915122624,-0.7219374314722258,2636,0.07412642707895428,0.07297346644615316,0.329352491093694
Explosion_Score_Pos_Z,0.1960459853247971,0.1960459853247971,0.1826442637004981,0.1826442637004981,0.37598320742111213,-0.853136160373615,2161,0.17993722209631502,0.19333894372061403,0.26400035767603347
Explosion_Score_Pos_Diff,0.18914683848340327,0.18914683848340327,0.17822347431507932,0.17822347431507932,0.38876027626291576,-0.8168725771496597,2162,0.1996134377795125,0.21053680194783644,0.2657152043447111
Explosion_Score_Type_Z,0.19657909860977305,0.19657909860977305,0.18426447370108603,0.18426447370108603,0.3637833976539089,-0.891114816397546,2162,0.16720429904413583,0.17951892395282285,0.2597664307548213
BMI_Pos_Z,0.03387516390125171,0.03387516390125171,0.035275089852283247,0.035275089852283247,0.33818761669313,-0.7837658549437314,2781,0.3043124527918783,0.3029125268408468,0.1560201228033125
BMI_Pos_Diff,0.03577644436695736,0.03577644436695736,0.033450597104970635,0.033450597104970635,0.33387262152894503,-0.7953959501674883,2781,0.29809617716198766,0.3004220244239744,0.1543171610531564
BMI_Type_Z,0.028231749674812647,0.028231749674812647,0.02829137361188022,0.02829137361188022,0.32254575922295947,-0.8259249501298507,2781,0.29431400954814685,0.29425438561107925,0.14597524067519166
Sprint_40yd_Pos_Rank,0.2984618261370808,-0.2984618261370808,0.29757365345379894,-0.29757365345379894,0.40591797216519554,-0.6327908069545902,2636,0.10745614602811476,0.1083443187113966,0.3411778327433422
Sprint_40yd_Year_Rank,0.13562510173329664,-0.13562510173329664,0.13523626513757042,-0.13523626513757042,0.32340657941036155,-0.8595673079205055,2636,0.1877814776770649,0.18817031427279113,0.21062104182540473
Vertical_Jump_Pos_Rank,0.17198862953506708,-0.17198862953506708,0.17145117030225876,-0.17145117030225876,0.34732811267523844,-0.928460743801653,2227,0.17533948314017136,0.17587694237297968,0.24196318502129313
Vertical_Jump_Year_Rank,0.11193388253619506,-0.11193388253619506,0.11195288474222195,-0.11195288474222195,0.3500223206724511,-0.9205001215362179,2227,0.23808843813625602,0.23806943593022914,0.20717495845250555
Broad_Jump_Pos_Rank,0.192293715238795,-0.192293715238795,0.19256891245510083,-0.19256891245510083,0.3822725996430991,-0.810143779833044,2200,0.18997888440430413,0.1897036871879983,0.2683678281654084
Broad_Jump_Year_Rank,0.1173615933177211,-0.1173615933177211,0.11788185013444975,-0.11788185013444975,0.34818168350861234,-0.910041339426479,2200,0.23082009019089123,0.2302998333741626,0.20984570643909617
Speed_Score_Pos_Rank,0.3084231312003871,-0.3084231312003871,0.30790737284045294,-0.30790737284045294,0.3985203990216587,-0.6531224932480859,2636,0.09009726782127159,0.09061302618120576,0.34430731082091554
Speed_Score_Year_Rank,0.2977087679829725,-0.2977087679829725,0.29733725738842876,-0.29733725738842876,0.38201812047069184,-0.6984777934412689,2636,0.08430935248771931,0.08468086308226308,0.3313210557996971
Explosion_Score_Pos_Rank,0.18204209181587122,-0.18204209181587122,0.1820723869368212,-0.1820723869368212,0.338806519044902,-0.9653570556454321,2162,0.15676442722903078,0.1567341321080808,0.24475695124376853
Explosion_Score_Year_Rank,0.15451245155124071,-0.15451245155124071,0.15457143330657147,-0.15457143330657147,0.32007386008814687,-1.0210387350813468,2162,0.16556140853690615,0.1655024267815754,0.22075470949260242
School_Count,0.0975669045458495,0.0975669045458495,0.10228052966453367,0.10228052966453367,0.30366765537965024,-0.8768066167337876,2781,0.20610075083380075,0.20138712571511658,0.18142129241497504
School_Year_Count,0.09817053677391628,0.09817053677391628,0.10262543852968302,0.10262543852968302,0.3198488872453439,-0.8331937596446988,2781,0.2216783504714276,0.21722344871566085,0.18817834748921733
Elite_Count,0.18790730211606255,0.18790730211606255,0.19675279241424193,0.19675279241424193,0.342502611857315,-0.7721357597199745,2781,0.15459530974125246,0.14574981944307308,0.25239907310201737
Red_Flag_Count,0.2097019623502072,-0.2097019623502072,0.21001608288085383,-0.21001608288085383,0.35922321811853175,-0.727069140727916,2781,0.14952125576832456,0.14920713523767792,0.269604700816731
Talent_Diff,0.2553002677531109,0.2553002677531109,0.2568657123659212,0.2568657123659212,0.3813375683349798,-0.6674649027061612,2781,0.1260373005818689,0.12447185596905858,0.3061848213697016
Elite_Score,0.24153616086553995,0.24153616086553995,0.2554493153045949,0.2554493153045949,0.3683925828424248,-0.7023551883774324,2781,0.12685642197688488,0.1129432675378299,0.2964526759880104
School_TE,0.00908206880688958,0.00908206880688958,0.025404874696070757,0.025404874696070757,0.33279387273789884,-0.7983034739734276,2781,0.3237118039310093,0.30738899804182807,0.14346363214604765
Position_TE,0.1443145698822207,0.1443145698822207,0.11242697829817248,0.11242697829817248,0.32901825196923695,-0.808479807294215,2781,0.18470368208701626,0.21659127367106445,0.20862976524181273
Position_Type_TE,0.14942567519391403,0.14942567519391403,0.10886162712525899,0.10886162712525899,0.32955762636476005,-0.8070260453912455,2781,0.18013195117084602,0.22069599923950106,0.2093092412416559
